x,swabID,surno,year,PITtag,Nruns,useCorrected,Zoospores,Site_name,date_collected,Julian,SVL,sex,Weight,water_temp
416,CBS345,3,2004,61838075,3,1,11.92143252,MonoPass,9/12/04,38242,70.5,F,30,NA
1042,CBS6099,8,2006,61838075,3,0,49.056,MonoPass,8/20/06,38949,61.2,F,41.5,13
738,CBS680,5,2005,61838795,2,0,14.0397256,MonoPass,9/25/05,38620,55.8,F,24,9
90,CBS085,1,2004,61843809,3,0,0.320695733,MonoPass,7/13/04,38181,69.2,F,35.5,23
1884,CBS8164,14,2008,61845824,1,0,87.904,MonoPass,8/1/08,39661,64.9,F,28,21.8
2031,MTS8022,15,2008,61845824,1,0,276.152,MonoPass,10/8/08,39729,67.4,F,30,9
482,CBS411,3,2004,61847019,2,0,1.763044,MonoPass,9/12/04,38242,60.7,F,25,NA
469,CBS398,3,2004,61858613,2,0,0,MonoPass,9/12/04,38242,49.9,M,13,NA
735,CBS677,5,2005,61869614,2,0,58.27568,MonoPass,9/25/05,38620,55.3,F,28,9
228,CBS187,2,2004,61877601,1,0,0,MonoPass,8/8/04,38207,65.4,F,26,19
691,CBS633,5,2005,62002032,3,0,0.03613592,MonoPass,9/4/05,38599,60,M,22,NA
1260,CBS6248,9,2006,62002032,4,0,0.0016648,MonoPass,9/22/06,38982,60.7,M,26,10.5
441,CBS370,3,2004,62006087,1,0,0.5070968,MonoPass,9/12/04,38242,48.6,M,10.5,NA
1712,CBS8004,13,2008,62006087,1,0,81.016,MonoPass,6/11/08,39610,50.2,M,17,16
1750,LGS8008,13,2008,62006087,1,0,336.264,MonoPass,6/17/08,39616,57.2,M,NA,13
436,CBS365,3,2004,62013082,1,0,0,MonoPass,9/12/04,38242,57.3,M,25,NA
230,CBS189,2,2004,62013302,1,0,0,MonoPass,8/8/04,38207,51.6,F,19.5,24
466,CBS395,3,2004,62018322,2,0,0,MonoPass,9/12/04,38242,67.5,F,19,NA
440,CBS369,3,2004,62021846,1,1,0.799502433,MonoPass,9/12/04,38242,73,F,55,NA
699,CBS641,5,2005,62028349,1,0,43.76632,MonoPass,9/4/05,38599,52.3,M,18,NA
2023,MTS8014,15,2008,62028349,1,0,226.36,MonoPass,10/8/08,39729,55.4,M,19.5,9
1083,CBS6140,8,2006,62038375,1,0,141.7448,MonoPass,8/21/06,38950,63.4,M,31,NA
2011,MTS8002,15,2008,62038375,1,0,96.696,MonoPass,10/8/08,39729,NA,M,25.5,9
427,CBS356,3,2004,62038770,3,0,0.019979573,MonoPass,9/12/04,38242,52.7,F,17.5,NA
780,CBS712,6,2005,62038770,3,0,5.165922667,MonoPass,10/2/05,38627,57.2,F,24,8
1580,CBS7208,11,2007,62038770,1,0,0,MonoPass,8/29/07,39323,61,F,NA,NA
2037,MTS8028,15,2008,62038770,1,0,1.656,MonoPass,10/8/08,39729,62.4,F,29,9
695,CBS637,5,2005,62042842,1,0,24.9288,MonoPass,9/4/05,38599,57.8,M,20,NA
757,CBS699,5,2005,62043637,2,0,2.422876,MonoPass,9/25/05,38620,57.3,M,18,10
1383,CBS7008,10,2007,62043637,1,0,0,MonoPass,6/25/07,39258,56.3,M,19.5,21
2057,MTS8048,15,2008,62043637,1,0,12.496,MonoPass,10/8/08,39729,56.4,M,23,9
227,CBS186,2,2004,62049324,3,0,12.91354667,MonoPass,8/8/04,38207,58.4,F,27,19
851,CBS783,6,2005,62049324,3,0,0,MonoPass,10/2/05,38627,62.9,F,32,8
1745,LGS8003,13,2008,62049324,1,0,0,MonoPass,6/17/08,39616,60.7,F,NA,16
1916,CBS8196,14,2008,62049324,1,0,0.768,MonoPass,8/21/08,39681,64.2,F,33,22.6
