year,site,date,id,species,,,
2017,TUP,5/22/17,2903,PEMA,,,
2017,TUP,5/23/17,2904,NEFU,,,
2017,TUP,5/23/17,2905,PEMA,,,
2017,TUP,5/23/17,2906,NEFU,,,
2017,TUP,5/23/17,2907,PEMA,,,
2017,TUP,5/23/17,2908,NEFU,,,
2017,TUP,5/23/17,2909,PEMA,,,
2017,TUP,5/23/17,2910,PEMA,,,
2017,TUP,5/23/17,2911,NEFU,,,
2017,TUP,5/23/17,2912,PEMA,,,
2017,TUP,5/23/17,2913,NEFU,,,
2017,TUP,5/23/17,2914,PEMA,,,
2017,TUP,5/23/17,2915,PEMA,,,
2017,TUP,5/23/17,2916,PEMA,,,
2017,TUP,5/23/17,2917,PEMA,,,
2017,LFY,5/18/17,2857,PETR,,,
2017,LFY,5/18/17,2858,PETR,,,
2017,LFY,5/18/17,2859,PETR,,,
2017,LFY,5/18/17,2860,NEFU,,,
2017,LFY,5/18/17,3054,PETR,,,
2017,LFY,5/19/17,2861,PETR,,,
2017,LFY,5/19/17,2862,REMA ,,,
2017,LFY,5/19/17,2863,PETR,,,
2017,LFY,5/19/17,2864,PETR,,,
2017,LFY,5/19/17,2865,NEFU,,,
2017,LFY,5/19/17,2866,NEFU,,,
2017,LFY,5/19/17,3040,NEFU,,,
2017,LFY,5/19/17,NA,PETR,,,
2017,LFY,5/20/17,2867,PETR,,,
2017,LFY,5/20/17,2868,PETR,,,
2017,LFY,5/20/17,2869,PETR,,,
2017,LFY,5/20/17,2870,VOLE,,,
2017,LFY,5/20/17,2871,REMA ,,,
2017,LFY,5/20/17,2872,PETR,,,
2017,LFY,5/20/17,2873,NEFU,,,
2017,LFY,5/20/17,2874,PETR,,,
2017,CCSP,4/27/17,S955,PEMA,,,
2017,CCSP,4/27/17,S956,PEMA,,,
2017,CCSP,4/27/17,S957,PEMA,,,
2017,CCSP,4/27/17,S958,PEMA,,,
2017,CCSP,4/27/17,S959,PETR,,,
2017,CCSP,4/27/17,S960,PEMA,,,
2017,CCSP,4/27/17,S961,PEMA,,,
2017,CCSP,4/27/17,S962,PEMA,,,
2017,CCSP,4/27/17,S963,PEMA,,,
2017,CCSP,4/27/17,S964,NEFU,,,
2017,CCSP,4/27/17,S965,PEMA,,,
2017,CCSP,4/27/17,S966,NEFU,,,
2017,CCSP,4/27/17,S967,PEMA,,,
